label,error,replication,eval_seed,episode,baseline_rule,action_random_seed,q_table_size,best_total_reward_so_far,random_seed,run_duration,due_date_lower_bound,due_date_upper_bound,rate_multiplier,risk_t1,risk_window,risk_t2,agent_type,training,fixed_action,msg,n_orders_created,n_orders_completed,n_orders_in_date,n_orders_late,late_order_fraction,time_in_system_mean,time_in_system_std,time_in_system_min,time_in_system_max,wip_mean,wip_max,total_reward,n_eval_failures,n_decision_points,action_0_count,action_1_count,action_2_count,action_3_count,epsilon,preparation_capacity,sorting_capacity,analysis1_capacity,analysis2_capacity,evaluation_capacity,dispatching_capacity,worker_capacity
,,0,312345,,FIFO,,,,312345,7200.0,4,8,0.9,0.0,120.0,120.0,baseline,False,0,simulation ended,2689,1393,166,1227,0.8808327351040919,1608.2795388999784,1010.1148992551176,8.950989732365354,5175.350617502007,624.3978118260575,1296,-11090.0,160,1792,1792,0,0,0,,1,1,1,1,1,1,1
,,1,313345,,FIFO,,,,313345,7200.0,4,8,0.9,0.0,120.0,120.0,baseline,False,0,simulation ended,2793,1418,148,1270,0.8956276445698167,1661.0623639166733,974.1553336104785,17.187548032176835,4964.85192290275,667.4593431621073,1375,-11682.0,154,1799,1799,0,0,0,,1,1,1,1,1,1,1
,,2,314345,,FIFO,,,,314345,7200.0,4,8,0.9,0.0,120.0,120.0,baseline,False,0,simulation ended,2750,1392,143,1249,0.8972701149425287,1805.896278430041,1068.7467620674618,12.633594345573625,5454.156612446792,689.5399533529767,1358,-11567.0,169,1797,1797,0,0,0,,1,1,1,1,1,1,1
,,3,315345,,FIFO,,,,315345,7200.0,4,8,0.9,0.0,120.0,120.0,baseline,False,0,simulation ended,2797,1416,157,1259,0.8891242937853108,1642.218693802744,999.5155402931792,11.067006805049784,4901.548983007093,669.7127986507303,1381,-11488.0,156,1797,1797,0,0,0,,1,1,1,1,1,1,1
,,4,316345,,FIFO,,,,316345,7200.0,4,8,0.9,0.0,120.0,120.0,baseline,False,0,simulation ended,2787,1418,142,1276,0.8998589562764457,1787.7296642262645,1044.5611259870022,18.396518633717015,5282.625712694195,696.7132521473444,1371,-11775.0,145,1788,1788,0,0,0,,1,1,1,1,1,1,1
,,5,317345,,FIFO,,,,317345,7200.0,4,8,0.9,0.0,120.0,120.0,baseline,False,0,simulation ended,2784,1426,145,1281,0.8983169705469846,1715.5057213221053,1050.2428126293025,10.790077922669727,5330.272931172495,683.1246894276989,1360,-11828.0,156,1786,1786,0,0,0,,1,1,1,1,1,1,1
,,6,318345,,FIFO,,,,318345,7200.0,4,8,0.9,0.0,120.0,120.0,baseline,False,0,simulation ended,2727,1395,144,1251,0.896774193548387,1736.3869315732627,1059.4714510852255,8.83969723567143,5285.058925169001,677.4935475008313,1334,-11574.0,168,1794,1794,0,0,0,,1,1,1,1,1,1,1
,,7,319345,,FIFO,,,,319345,7200.0,4,8,0.9,0.0,120.0,120.0,baseline,False,0,simulation ended,2722,1428,149,1279,0.8956582633053222,1639.247162857814,968.2121332500668,11.613480675584368,4871.890338508866,633.3785771288382,1295,-11774.0,158,1803,1803,0,0,0,,1,1,1,1,1,1,1
,,8,320345,,FIFO,,,,320345,7200.0,4,8,0.9,0.0,120.0,120.0,baseline,False,0,simulation ended,2859,1418,144,1274,0.8984485190409027,1804.7680830302174,1097.7733973854588,14.103620939431089,6254.411263363674,729.3306873564258,1441,-11750.0,150,1804,1804,0,0,0,,1,1,1,1,1,1,1
,,9,321345,,FIFO,,,,321345,7200.0,4,8,0.9,0.0,120.0,120.0,baseline,False,0,simulation ended,2788,1396,143,1253,0.8975644699140402,1788.0504266709524,1068.2136716801408,12.324706307787704,5378.780405558808,710.8544284649198,1392,-11610.0,170,1791,1791,0,0,0,,1,1,1,1,1,1,1
