replication,eval_seed,objective_value,q_table_size,alpha,gamma,target_final_epsilon,risk_t1,risk_window,epsilon_decay,epsilon_min,label,error,episode,baseline_rule,action_random_seed,best_total_reward_so_far,random_seed,run_duration,due_date_lower_bound,due_date_upper_bound,rate_multiplier,risk_t2,agent_type,training,fixed_action,msg,n_orders_created,n_orders_completed,n_orders_in_date,n_orders_late,late_order_fraction,time_in_system_mean,time_in_system_std,time_in_system_min,time_in_system_max,wip_mean,wip_max,total_reward,n_eval_failures,n_decision_points,action_0_count,action_1_count,action_2_count,action_3_count,epsilon,preparation_capacity,sorting_capacity,analysis1_capacity,analysis2_capacity,evaluation_capacity,dispatching_capacity,worker_capacity
0,312345,-528.0,20,0.22608861732098476,0.2,0.02,175.214912,120.0,0.9616350847573034,0.02,,,,,,,312345,1440.0,4,8,0.9,295.214912,q_learning,False,,simulation ended,487,271,167,104,0.3837638376383764,310.5302701082966,179.5378098549372,8.950989732365354,858.2987919396725,109.3254777929539,217,528.0,34,350,0,136,75,139,0.02000000000000006,1,1,1,1,1,1,1
1,313345,-307.0,20,0.22608861732098476,0.2,0.02,175.214912,120.0,0.9616350847573034,0.02,,,,,,,313345,1440.0,4,8,0.9,295.214912,q_learning,False,,simulation ended,562,280,160,120,0.42857142857142855,337.9649115804268,208.3012038020594,17.187548032176835,1197.5503274827954,135.416784777984,282,307.0,31,357,5,208,138,6,0.02000000000000006,1,1,1,1,1,1,1
2,314345,213.0,20,0.22608861732098476,0.2,0.02,175.214912,120.0,0.9616350847573034,0.02,,,,,,,314345,1440.0,4,8,0.9,295.214912,q_learning,False,,simulation ended,561,276,132,144,0.5217391304347826,373.98900734028507,238.94705996744048,12.633594345573625,955.3170768725124,148.05837788147468,286,-213.0,31,359,21,331,3,4,0.02000000000000006,1,1,1,1,1,1,1
3,315345,-234.0,20,0.22608861732098476,0.2,0.02,175.214912,120.0,0.9616350847573034,0.02,,,,,,,315345,1440.0,4,8,0.9,295.214912,q_learning,False,,simulation ended,526,288,159,129,0.4479166666666667,333.00860069062946,204.27363009219206,11.067006805049784,773.0883273584673,124.84367175576061,239,234.0,22,359,33,272,18,36,0.02000000000000006,1,1,1,1,1,1,1
4,316345,149.0,20,0.22608861732098476,0.2,0.02,175.214912,120.0,0.9616350847573034,0.02,,,,,,,316345,1440.0,4,8,0.9,295.214912,q_learning,False,,simulation ended,584,281,138,143,0.5088967971530249,361.24527944439416,212.29282348512416,18.396518633717015,1039.6574062749069,152.08948657422883,304,-149.0,33,357,124,108,27,98,0.02000000000000006,1,1,1,1,1,1,1
5,317345,-200.0,20,0.22608861732098476,0.2,0.02,175.214912,120.0,0.9616350847573034,0.02,,,,,,,317345,1440.0,4,8,0.9,295.214912,q_learning,False,,simulation ended,527,277,153,124,0.44765342960288806,335.4024451848153,198.28511186124763,10.790077922669727,1011.1762734578842,126.39784038075321,251,200.0,30,352,239,91,20,2,0.02000000000000006,1,1,1,1,1,1,1
6,318345,-187.0,20,0.22608861732098476,0.2,0.02,175.214912,120.0,0.9616350847573034,0.02,,,,,,,318345,1440.0,4,8,0.9,295.214912,q_learning,False,,simulation ended,552,282,155,127,0.450354609929078,347.7004677474524,206.87161759318053,8.83969723567143,1053.7369070714562,130.76134924175673,271,187.0,31,360,212,31,1,116,0.02000000000000006,1,1,1,1,1,1,1
7,319345,-327.0,20,0.22608861732098476,0.2,0.02,175.214912,120.0,0.9616350847573034,0.02,,,,,,,319345,1440.0,4,8,0.9,295.214912,q_learning,False,,simulation ended,552,278,160,118,0.4244604316546763,339.7538873876671,201.19560155026016,11.613480675584368,1044.3458508285476,132.63484639295993,274,327.0,31,357,208,59,0,90,0.02000000000000006,1,1,1,1,1,1,1
8,320345,-117.0,20,0.22608861732098476,0.2,0.02,175.214912,120.0,0.9616350847573034,0.02,,,,,,,320345,1440.0,4,8,0.9,295.214912,q_learning,False,,simulation ended,567,283,152,131,0.4628975265017668,362.0776313182325,232.9765273589511,12.505778783697268,1086.0345820544915,150.57266652830006,285,117.0,31,358,99,35,16,208,0.02000000000000006,1,1,1,1,1,1,1
9,321345,-124.0,20,0.22608861732098476,0.2,0.02,175.214912,120.0,0.9616350847573034,0.02,,,,,,,321345,1440.0,4,8,0.9,295.214912,q_learning,False,,simulation ended,572,276,149,127,0.4601449275362319,346.59835205349174,208.36083400640695,12.324706307787704,1002.2974992667457,142.01650264372986,297,124.0,32,354,9,27,7,311,0.02000000000000006,1,1,1,1,1,1,1
