replication,eval_seed,objective_value,q_table_size,alpha,gamma,target_final_epsilon,risk_t1,risk_window,epsilon_decay,epsilon_min,label,error,episode,baseline_rule,action_random_seed,best_total_reward_so_far,random_seed,run_duration,due_date_lower_bound,due_date_upper_bound,rate_multiplier,risk_t2,agent_type,training,fixed_action,msg,n_orders_created,n_orders_completed,n_orders_in_date,n_orders_late,late_order_fraction,time_in_system_mean,time_in_system_std,time_in_system_min,time_in_system_max,wip_mean,wip_max,total_reward,n_eval_failures,n_decision_points,action_0_count,action_1_count,action_2_count,action_3_count,epsilon,preparation_capacity,sorting_capacity,analysis1_capacity,analysis2_capacity,evaluation_capacity,dispatching_capacity,worker_capacity
0,312345,-848.0,21,0.7,0.95,0.08160205762665143,175.214912,120.0,0.9752523626261524,0.08160205762665143,,,,,,,312345,1440.0,4,8,0.9,295.214912,q_learning,False,,simulation ended,487,271,183,88,0.3247232472324723,310.58614317886673,186.39747001397595,8.950989732365354,997.6433225851245,109.3254777929539,217,848.0,34,350,147,50,42,111,0.08160205762665143,1,1,1,1,1,1,1
1,313345,-147.0,21,0.7,0.95,0.08160205762665143,175.214912,120.0,0.9752523626261524,0.08160205762665143,,,,,,,313345,1440.0,4,8,0.9,295.214912,q_learning,False,,simulation ended,562,280,152,128,0.45714285714285713,341.2068144154073,203.29780368976714,17.187548032176835,906.2062402968666,135.416784777984,282,147.0,31,357,200,120,24,13,0.08160205762665143,1,1,1,1,1,1,1
2,314345,113.0,21,0.7,0.95,0.08160205762665143,175.214912,120.0,0.9752523626261524,0.08160205762665143,,,,,,,314345,1440.0,4,8,0.9,295.214912,q_learning,False,,simulation ended,561,276,137,139,0.5036231884057971,370.90284049346775,231.66563098400914,12.633594345573625,1126.896879938645,148.05837788147468,286,-113.0,31,359,26,64,198,71,0.08160205762665143,1,1,1,1,1,1,1
3,315345,-354.0,21,0.7,0.95,0.08160205762665143,175.214912,120.0,0.9752523626261524,0.08160205762665143,,,,,,,315345,1440.0,4,8,0.9,295.214912,q_learning,False,,simulation ended,526,288,165,123,0.4270833333333333,331.16498123008614,201.97706060894635,11.067006805049784,840.7632857595642,124.84367175576061,239,354.0,22,359,37,40,97,185,0.08160205762665143,1,1,1,1,1,1,1
4,316345,149.0,21,0.7,0.95,0.08160205762665143,175.214912,120.0,0.9752523626261524,0.08160205762665143,,,,,,,316345,1440.0,4,8,0.9,295.214912,q_learning,False,,simulation ended,584,281,138,143,0.5088967971530249,361.0613292339444,209.89900853384827,18.396518633717015,1076.0385424784645,152.08948657422883,304,-149.0,33,357,106,26,157,68,0.08160205762665143,1,1,1,1,1,1,1
5,317345,-240.0,21,0.7,0.95,0.08160205762665143,175.214912,120.0,0.9752523626261524,0.08160205762665143,,,,,,,317345,1440.0,4,8,0.9,295.214912,q_learning,False,,simulation ended,527,277,155,122,0.4404332129963899,335.40244518481524,204.79449101082832,10.790077922669727,1069.2161448596307,126.39784038075321,251,240.0,30,352,9,94,21,228,0.08160205762665143,1,1,1,1,1,1,1
6,318345,-7.0,21,0.7,0.95,0.08160205762665143,175.214912,120.0,0.9752523626261524,0.08160205762665143,,,,,,,318345,1440.0,4,8,0.9,295.214912,q_learning,False,,simulation ended,552,282,146,136,0.48226950354609927,347.78787774197724,203.84971996218601,8.83969723567143,1093.7368003308864,130.76134924175673,271,7.0,31,360,105,19,65,171,0.08160205762665143,1,1,1,1,1,1,1
7,319345,-127.0,21,0.7,0.95,0.08160205762665143,175.214912,120.0,0.9752523626261524,0.08160205762665143,,,,,,,319345,1440.0,4,8,0.9,295.214912,q_learning,False,,simulation ended,552,278,150,128,0.460431654676259,339.91619582071985,201.90974223488394,11.613480675584368,964.8701965917235,132.63484639295993,274,127.0,31,357,43,29,275,10,0.08160205762665143,1,1,1,1,1,1,1
8,320345,23.0,21,0.7,0.95,0.08160205762665143,175.214912,120.0,0.9752523626261524,0.08160205762665143,,,,,,,320345,1440.0,4,8,0.9,295.214912,q_learning,False,,simulation ended,567,283,145,138,0.4876325088339223,362.5305839183079,229.7372467706084,14.103620939431089,1046.779135933792,150.57266652830006,285,-23.0,31,358,34,14,264,46,0.08160205762665143,1,1,1,1,1,1,1
9,321345,36.0,21,0.7,0.95,0.08160205762665143,175.214912,120.0,0.9752523626261524,0.08160205762665143,,,,,,,321345,1440.0,4,8,0.9,295.214912,q_learning,False,,simulation ended,572,276,141,135,0.4891304347826087,347.62599283114616,205.91329947383537,12.324706307787704,991.9676256944584,142.01650264372986,297,-36.0,32,354,58,91,192,13,0.08160205762665143,1,1,1,1,1,1,1
