replication,eval_seed,objective_value,q_table_size,alpha,gamma,target_final_epsilon,risk_t1,risk_window,epsilon_decay,epsilon_min,label,error,episode,baseline_rule,action_random_seed,best_total_reward_so_far,random_seed,run_duration,due_date_lower_bound,due_date_upper_bound,rate_multiplier,risk_t2,agent_type,training,fixed_action,msg,n_orders_created,n_orders_completed,n_orders_in_date,n_orders_late,late_order_fraction,time_in_system_mean,time_in_system_std,time_in_system_min,time_in_system_max,wip_mean,wip_max,total_reward,n_eval_failures,n_decision_points,action_0_count,action_1_count,action_2_count,action_3_count,epsilon,preparation_capacity,sorting_capacity,analysis1_capacity,analysis2_capacity,evaluation_capacity,dispatching_capacity,worker_capacity
0,312345,-868.0,26,0.005,0.2,0.02,174.22515252065145,120.0,0.9996088742090999,0.02,,,,,,,312345,1440.0,4,8,0.9,294.2251525206515,q_learning,False,,simulation ended,487,271,184,87,0.3210332103321033,310.5039646993796,184.07022601090668,8.950989732365354,997.6433225851245,109.3254777929539,217,868.0,34,350,200,10,27,113,0.020000000000004278,1,1,1,1,1,1,1
1,313345,-387.0,26,0.005,0.2,0.02,174.22515252065145,120.0,0.9996088742090999,0.02,,,,,,,313345,1440.0,4,8,0.9,294.2251525206515,q_learning,False,,simulation ended,562,280,164,116,0.4142857142857143,335.20007560544803,194.56453750640506,17.187548032176835,1015.6946575113395,135.416784777984,282,387.0,31,357,243,12,5,97,0.020000000000004278,1,1,1,1,1,1,1
2,314345,-207.0,26,0.005,0.2,0.02,174.22515252065145,120.0,0.9996088742090999,0.02,,,,,,,314345,1440.0,4,8,0.9,294.2251525206515,q_learning,False,,simulation ended,561,276,153,123,0.44565217391304346,365.3035006014612,217.56297211247303,12.633594345573625,753.4791329471503,148.05837788147468,286,207.0,31,359,237,13,14,95,0.020000000000004278,1,1,1,1,1,1,1
3,315345,-574.0,26,0.005,0.2,0.02,174.22515252065145,120.0,0.9996088742090999,0.02,,,,,,,315345,1440.0,4,8,0.9,294.2251525206515,q_learning,False,,simulation ended,526,288,176,112,0.3888888888888889,330.12853289130265,198.75519191434614,11.067006805049784,853.899298028464,124.84367175576061,239,574.0,22,359,233,0,12,114,0.020000000000004278,1,1,1,1,1,1,1
4,316345,-31.0,26,0.005,0.2,0.02,174.22515252065145,120.0,0.9996088742090999,0.02,,,,,,,316345,1440.0,4,8,0.9,294.2251525206515,q_learning,False,,simulation ended,584,281,147,134,0.47686832740213525,361.2753567942557,210.91535484666704,18.396518633717015,1075.1007824162607,152.08948657422883,304,31.0,33,357,245,5,25,82,0.020000000000004278,1,1,1,1,1,1,1
5,317345,-420.0,26,0.005,0.2,0.02,174.22515252065145,120.0,0.9996088742090999,0.02,,,,,,,317345,1440.0,4,8,0.9,294.2251525206515,q_learning,False,,simulation ended,527,277,164,113,0.40794223826714804,334.46984139193387,196.12973259530983,10.790077922669727,1021.0136416543834,126.39784038075321,251,420.0,30,352,237,0,14,101,0.020000000000004278,1,1,1,1,1,1,1
6,318345,-147.0,26,0.005,0.2,0.02,174.22515252065145,120.0,0.9996088742090999,0.02,,,,,,,318345,1440.0,4,8,0.9,294.2251525206515,q_learning,False,,simulation ended,552,282,153,129,0.4574468085106383,347.7004677474524,205.74217143845345,8.83969723567143,1053.7369070714562,130.76134924175673,271,147.0,31,360,224,12,24,100,0.020000000000004278,1,1,1,1,1,1,1
7,319345,-367.0,26,0.005,0.2,0.02,174.22515252065145,120.0,0.9996088742090999,0.02,,,,,,,319345,1440.0,4,8,0.9,294.2251525206515,q_learning,False,,simulation ended,552,278,162,116,0.4172661870503597,339.5394555680555,197.439659249307,11.613480675584368,958.1013331156678,132.63484639295993,274,367.0,31,357,237,14,12,94,0.020000000000004278,1,1,1,1,1,1,1
8,320345,-117.0,26,0.005,0.2,0.02,174.22515252065145,120.0,0.9996088742090999,0.02,,,,,,,320345,1440.0,4,8,0.9,294.2251525206515,q_learning,False,,simulation ended,567,283,152,131,0.4628975265017668,362.6277188244071,229.36391744259313,12.505778783697268,1058.8647078563326,150.57266652830006,285,117.0,31,358,202,5,55,96,0.020000000000004278,1,1,1,1,1,1,1
9,321345,-244.0,26,0.005,0.2,0.02,174.22515252065145,120.0,0.9996088742090999,0.02,,,,,,,321345,1440.0,4,8,0.9,294.2251525206515,q_learning,False,,simulation ended,572,276,155,121,0.4384057971014493,346.0939622483096,203.6335273711027,12.324706307787704,957.2168403062334,142.01650264372986,297,244.0,32,354,241,0,19,94,0.020000000000004278,1,1,1,1,1,1,1
10,322345,-621.0,26,0.005,0.2,0.02,174.22515252065145,120.0,0.9996088742090999,0.02,,,,,,,322345,1440.0,4,8,0.9,294.2251525206515,q_learning,False,,simulation ended,561,297,183,114,0.3838383838383838,312.66319855396705,199.3312284168912,12.841325965380715,970.9373798712461,126.82927581498983,264,621.0,23,351,208,8,50,85,0.020000000000004278,1,1,1,1,1,1,1
11,323345,209.0,26,0.005,0.2,0.02,174.22515252065145,120.0,0.9996088742090999,0.02,,,,,,,323345,1440.0,4,8,0.9,294.2251525206515,q_learning,False,,simulation ended,527,255,122,133,0.5215686274509804,402.6384796842316,221.36945610915504,9.889845300335054,1130.2070431065026,148.23287656560672,274,-209.0,33,351,250,1,22,78,0.020000000000004278,1,1,1,1,1,1,1
12,324345,-465.0,26,0.005,0.2,0.02,174.22515252065145,120.0,0.9996088742090999,0.02,,,,,,,324345,1440.0,4,8,0.9,294.2251525206515,q_learning,False,,simulation ended,539,278,166,112,0.4028776978417266,331.6178225812488,174.60462126902138,11.679415142383341,874.1570540663041,120.2577648862026,262,465.0,25,358,244,2,15,97,0.020000000000004278,1,1,1,1,1,1,1
13,325345,-210.0,26,0.005,0.2,0.02,174.22515252065145,120.0,0.9996088742090999,0.02,,,,,,,325345,1440.0,4,8,0.9,294.2251525206515,q_learning,False,,simulation ended,573,278,154,124,0.4460431654676259,367.3504606641675,213.77565185426016,11.314777878645003,1125.9757227724263,150.52665345943666,295,210.0,30,357,243,4,2,108,0.020000000000004278,1,1,1,1,1,1,1
14,326345,-408.0,26,0.005,0.2,0.02,174.22515252065145,120.0,0.9996088742090999,0.02,,,,,,,326345,1440.0,4,8,0.9,294.2251525206515,q_learning,False,,simulation ended,535,281,166,115,0.4092526690391459,343.5581794490569,202.90926562673386,11.82614240193756,1028.3303936826849,133.06154947202782,255,408.0,34,357,235,10,33,79,0.020000000000004278,1,1,1,1,1,1,1
