replication,eval_seed,objective_value,q_table_size,alpha,gamma,target_final_epsilon,risk_t1,risk_window,epsilon_decay,epsilon_min,label,error,episode,baseline_rule,action_random_seed,best_total_reward_so_far,random_seed,run_duration,due_date_lower_bound,due_date_upper_bound,rate_multiplier,risk_t2,agent_type,training,fixed_action,msg,n_orders_created,n_orders_completed,n_orders_in_date,n_orders_late,late_order_fraction,time_in_system_mean,time_in_system_std,time_in_system_min,time_in_system_max,wip_mean,wip_max,total_reward,n_eval_failures,n_decision_points,action_0_count,action_1_count,action_2_count,action_3_count,epsilon,preparation_capacity,sorting_capacity,analysis1_capacity,analysis2_capacity,evaluation_capacity,dispatching_capacity,worker_capacity
0,312345,-408.0,26,0.0310579545028682,0.8,0.0534023734000368,175.214912,758.004,0.9997070529085501,0.0534023734000368,,,,,,,312345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,487,271,161,110,0.4059040590405904,310.91025649890804,185.7202915489002,8.950989732365354,782.2150051281255,109.3254777929539,217,408.0,34,350,21,282,33,14,0.05340237340005671,1,1,1,1,1,1,1
1,313345,-287.0,26,0.0310579545028682,0.8,0.0534023734000368,175.214912,758.004,0.9997070529085501,0.0534023734000368,,,,,,,313345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,562,280,159,121,0.43214285714285716,334.88782644209914,195.1067135973705,17.187548032176835,1110.9700205677634,135.416784777984,282,287.0,31,357,24,75,255,3,0.05340237340005671,1,1,1,1,1,1,1
2,314345,133.0,26,0.0310579545028682,0.8,0.0534023734000368,175.214912,758.004,0.9997070529085501,0.0534023734000368,,,,,,,314345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,561,276,136,140,0.5072463768115942,365.6313442768212,219.3535250964368,12.633594345573625,759.4324782228713,148.05837788147468,286,-133.0,31,359,27,89,225,18,0.05340237340005671,1,1,1,1,1,1,1
3,315345,-134.0,26,0.0310579545028682,0.8,0.0534023734000368,175.214912,758.004,0.9997070529085501,0.0534023734000368,,,,,,,315345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,526,288,154,134,0.4652777777777778,329.70666819134874,197.1837199430765,11.067006805049784,655.977419011903,124.84367175576061,239,134.0,22,359,187,85,80,7,0.05340237340005671,1,1,1,1,1,1,1
4,316345,269.0,26,0.0310579545028682,0.8,0.0534023734000368,175.214912,758.004,0.9997070529085501,0.0534023734000368,,,,,,,316345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,584,281,132,149,0.5302491103202847,375.0714069166124,224.3505833841935,18.396518633717015,829.4346250659149,152.08948657422883,304,-269.0,33,357,142,144,53,18,0.05340237340005671,1,1,1,1,1,1,1
5,317345,-180.0,26,0.0310579545028682,0.8,0.0534023734000368,175.214912,758.004,0.9997070529085501,0.0534023734000368,,,,,,,317345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,527,277,152,125,0.45126353790613716,334.4488089859554,195.63873507412282,10.790077922669727,1026.4011990726003,126.39784038075321,251,180.0,30,352,74,0,22,256,0.05340237340005671,1,1,1,1,1,1,1
6,318345,13.0,26,0.0310579545028682,0.8,0.0534023734000368,175.214912,758.004,0.9997070529085501,0.0534023734000368,,,,,,,318345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,552,282,145,137,0.4858156028368794,347.75993306862375,202.43006784423966,8.83969723567143,1000.2430306151637,130.76134924175673,271,-13.0,31,360,95,7,24,234,0.05340237340005671,1,1,1,1,1,1,1
7,319345,-167.0,26,0.0310579545028682,0.8,0.0534023734000368,175.214912,758.004,0.9997070529085501,0.0534023734000368,,,,,,,319345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,552,278,152,126,0.45323741007194246,339.80882833905224,201.64312590298942,11.613480675584368,966.7853104111985,132.63484639295993,274,167.0,31,357,77,1,36,243,0.05340237340005671,1,1,1,1,1,1,1
8,320345,43.0,26,0.0310579545028682,0.8,0.0534023734000368,175.214912,758.004,0.9997070529085501,0.0534023734000368,,,,,,,320345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,567,283,144,139,0.4911660777385159,362.5254355698607,228.24696404613732,14.103620939431089,1046.779135933792,150.57266652830006,285,-43.0,31,358,106,2,55,195,0.05340237340005671,1,1,1,1,1,1,1
9,321345,-4.0,26,0.0310579545028682,0.8,0.0534023734000368,175.214912,758.004,0.9997070529085501,0.0534023734000368,,,,,,,321345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,572,276,143,133,0.48188405797101447,346.7121429248607,204.65274294338747,12.324706307787704,948.1399454287478,142.01650264372986,297,4.0,32,354,53,1,298,2,0.05340237340005671,1,1,1,1,1,1,1
10,322345,-521.0,26,0.0310579545028682,0.8,0.0534023734000368,175.214912,758.004,0.9997070529085501,0.0534023734000368,,,,,,,322345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,561,297,178,119,0.4006734006734007,312.7141295645276,200.07423964649283,12.841325965380715,966.8512775015253,126.82927581498983,264,521.0,23,351,36,0,144,171,0.05340237340005671,1,1,1,1,1,1,1
11,323345,569.0,26,0.0310579545028682,0.8,0.0534023734000368,175.214912,758.004,0.9997070529085501,0.0534023734000368,,,,,,,323345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,527,255,104,151,0.592156862745098,402.068629725518,219.07336060883551,9.889845300335054,1098.5503124175107,148.23287656560672,274,-569.0,33,351,29,2,78,242,0.05340237340005671,1,1,1,1,1,1,1
12,324345,-445.0,26,0.0310579545028682,0.8,0.0534023734000368,175.214912,758.004,0.9997070529085501,0.0534023734000368,,,,,,,324345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,539,278,165,113,0.4064748201438849,331.69171516277174,173.28444833766662,11.679415142383341,830.065255169067,120.2577648862026,262,445.0,25,358,45,0,27,286,0.05340237340005671,1,1,1,1,1,1,1
13,325345,-210.0,26,0.0310579545028682,0.8,0.0534023734000368,175.214912,758.004,0.9997070529085501,0.0534023734000368,,,,,,,325345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,573,278,154,124,0.4460431654676259,367.35332233124603,213.67929795045197,11.314777878645003,1125.9757227724263,150.52665345943666,295,210.0,30,357,51,0,13,293,0.05340237340005671,1,1,1,1,1,1,1
14,326345,-428.0,26,0.0310579545028682,0.8,0.0534023734000368,175.214912,758.004,0.9997070529085501,0.0534023734000368,,,,,,,326345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,535,281,167,114,0.40569395017793597,343.1910672652629,203.07313010492877,12.17802885191329,1007.3607012774085,133.06154947202782,255,428.0,34,357,40,0,29,288,0.05340237340005671,1,1,1,1,1,1,1
15,327345,-443.0,26,0.0310579545028682,0.8,0.0534023734000368,175.214912,758.004,0.9997070529085501,0.0534023734000368,,,,,,,327345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,556,294,172,122,0.41496598639455784,350.5936531941543,207.71778337769962,16.544162234716865,1014.3976699992986,136.6186340765332,264,443.0,19,357,60,1,18,278,0.05340237340005671,1,1,1,1,1,1,1
16,328345,-134.0,26,0.0310579545028682,0.8,0.0534023734000368,175.214912,758.004,0.9997070529085501,0.0534023734000368,,,,,,,328345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,528,276,151,125,0.4528985507246377,346.44122545181426,190.5708416255693,9.866113810889903,922.4847578135224,129.12384642981777,252,134.0,42,355,53,0,14,288,0.05340237340005671,1,1,1,1,1,1,1
17,329345,-481.0,26,0.0310579545028682,0.8,0.0534023734000368,175.214912,758.004,0.9997070529085501,0.0534023734000368,,,,,,,329345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,512,284,171,113,0.397887323943662,311.0108846501915,184.11644643991875,9.879101366234648,898.0523319367101,110.08996564603814,229,481.0,33,358,148,0,8,202,0.05340237340005671,1,1,1,1,1,1,1
18,330345,384.0,26,0.0310579545028682,0.8,0.0534023734000368,175.214912,758.004,0.9997070529085501,0.0534023734000368,,,,,,,330345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,613,276,123,153,0.5543478260869565,404.700723258116,229.10784464798465,12.104969750158673,1121.1182366735895,175.8695387715625,338,-384.0,28,355,136,4,13,202,0.05340237340005671,1,1,1,1,1,1,1
19,331345,-636.0,26,0.0310579545028682,0.8,0.0534023734000368,175.214912,758.004,0.9997070529085501,0.0534023734000368,,,,,,,331345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,528,278,175,103,0.37050359712230213,313.0302782853126,198.44155087133387,10.715534145572903,919.3149541068659,122.75888545668477,250,636.0,28,358,343,0,5,10,0.05340237340005671,1,1,1,1,1,1,1
20,332345,69.0,26,0.0310579545028682,0.8,0.0534023734000368,175.214912,758.004,0.9997070529085501,0.0534023734000368,,,,,,,332345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,595,283,143,140,0.49469964664310956,367.410257165911,207.20082504217598,11.902551930267954,1080.7634758901645,159.54872356859133,313,-69.0,33,355,342,1,10,2,0.05340237340005671,1,1,1,1,1,1,1
21,333345,-254.0,26,0.0310579545028682,0.8,0.0534023734000368,175.214912,758.004,0.9997070529085501,0.0534023734000368,,,,,,,333345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,531,272,155,117,0.43014705882352944,316.80475439150445,192.72662149641585,11.350712639490974,857.9196186204716,123.75041321105593,262,254.0,42,348,330,1,5,12,0.05340237340005671,1,1,1,1,1,1,1
22,334345,109.0,26,0.0310579545028682,0.8,0.0534023734000368,175.214912,758.004,0.9997070529085501,0.0534023734000368,,,,,,,334345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,554,283,141,142,0.5017667844522968,370.38993547395376,205.60843314302193,9.86054462359245,1048.5677850266834,142.12413425519992,272,-109.0,33,359,338,0,19,2,0.05340237340005671,1,1,1,1,1,1,1
23,335345,-485.0,26,0.0310579545028682,0.8,0.0534023734000368,175.214912,758.004,0.9997070529085501,0.0534023734000368,,,,,,,335345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,521,283,171,112,0.3957597173144876,301.30822539968597,181.1694655158731,11.00075071128366,965.5252264366957,114.11354165497497,238,485.0,35,357,341,0,12,4,0.05340237340005671,1,1,1,1,1,1,1
