replication,eval_seed,objective_value,q_table_size,alpha,gamma,target_final_epsilon,risk_t1,risk_window,epsilon_decay,epsilon_min,label,error,episode,baseline_rule,action_random_seed,best_total_reward_so_far,random_seed,run_duration,due_date_lower_bound,due_date_upper_bound,rate_multiplier,risk_t2,agent_type,training,fixed_action,msg,n_orders_created,n_orders_completed,n_orders_in_date,n_orders_late,late_order_fraction,time_in_system_mean,time_in_system_std,time_in_system_min,time_in_system_max,wip_mean,wip_max,total_reward,n_eval_failures,n_decision_points,action_0_count,action_1_count,action_2_count,action_3_count,epsilon,preparation_capacity,sorting_capacity,analysis1_capacity,analysis2_capacity,evaluation_capacity,dispatching_capacity,worker_capacity
0,312345,-748.0,26,0.0161786260340391,0.8883762692274901,0.0229954221422281,175.214912,120.0,0.999622825136314,0.0229954221422281,,,,,,,312345,1440.0,4,8,0.9,295.214912,q_learning,False,,simulation ended,487,271,178,93,0.34317343173431736,310.43233719669735,183.8508922294286,8.950989732365354,997.6433225851245,109.3254777929539,217,748.0,34,350,6,5,57,282,0.022995422142239107,1,1,1,1,1,1,1
1,313345,-387.0,26,0.0161786260340391,0.8883762692274901,0.0229954221422281,175.214912,120.0,0.999622825136314,0.0229954221422281,,,,,,,313345,1440.0,4,8,0.9,295.214912,q_learning,False,,simulation ended,562,280,164,116,0.4142857142857143,335.4143169300268,196.8255338547741,17.187548032176835,1088.4022945918748,135.416784777984,282,387.0,31,357,0,4,85,268,0.022995422142239107,1,1,1,1,1,1,1
2,314345,-87.0,26,0.0161786260340391,0.8883762692274901,0.0229954221422281,175.214912,120.0,0.999622825136314,0.0229954221422281,,,,,,,314345,1440.0,4,8,0.9,295.214912,q_learning,False,,simulation ended,561,276,147,129,0.4673913043478261,365.3017878399713,217.20713258926884,12.633594345573625,729.807828241211,148.05837788147468,286,87.0,31,359,11,5,39,304,0.022995422142239107,1,1,1,1,1,1,1
3,315345,-294.0,26,0.0161786260340391,0.8883762692274901,0.0229954221422281,175.214912,120.0,0.999622825136314,0.0229954221422281,,,,,,,315345,1440.0,4,8,0.9,295.214912,q_learning,False,,simulation ended,526,288,162,126,0.4375,330.08286433036756,199.86510701237827,11.067006805049784,819.4900632231792,124.84367175576061,239,294.0,22,359,0,4,82,273,0.022995422142239107,1,1,1,1,1,1,1
4,316345,-11.0,26,0.0161786260340391,0.8883762692274901,0.0229954221422281,175.214912,120.0,0.999622825136314,0.0229954221422281,,,,,,,316345,1440.0,4,8,0.9,295.214912,q_learning,False,,simulation ended,584,281,146,135,0.4804270462633452,361.2523694650657,210.63972544330932,18.396518633717015,1075.1007824162607,152.08948657422883,304,11.0,33,357,20,7,57,273,0.022995422142239107,1,1,1,1,1,1,1
5,317345,-380.0,26,0.0161786260340391,0.8883762692274901,0.0229954221422281,175.214912,120.0,0.999622825136314,0.0229954221422281,,,,,,,317345,1440.0,4,8,0.9,295.214912,q_learning,False,,simulation ended,527,277,162,115,0.4151624548736462,334.46984139193387,195.8459695562784,10.790077922669727,1021.0136416543834,126.39784038075321,251,380.0,30,352,0,13,59,280,0.022995422142239107,1,1,1,1,1,1,1
6,318345,-107.0,26,0.0161786260340391,0.8883762692274901,0.0229954221422281,175.214912,120.0,0.999622825136314,0.0229954221422281,,,,,,,318345,1440.0,4,8,0.9,295.214912,q_learning,False,,simulation ended,552,282,151,131,0.4645390070921986,347.65556874312887,205.5070413586763,8.83969723567143,1053.7369070714562,130.76134924175673,271,107.0,31,360,20,6,42,292,0.022995422142239107,1,1,1,1,1,1,1
7,319345,-327.0,26,0.0161786260340391,0.8883762692274901,0.0229954221422281,175.214912,120.0,0.999622825136314,0.0229954221422281,,,,,,,319345,1440.0,4,8,0.9,295.214912,q_learning,False,,simulation ended,552,278,160,118,0.4244604316546763,339.7258800294629,198.6540601856748,11.613480675584368,1044.3458508285476,132.63484639295993,274,327.0,31,357,9,0,59,289,0.022995422142239107,1,1,1,1,1,1,1
8,320345,-137.0,26,0.0161786260340391,0.8883762692274901,0.0229954221422281,175.214912,120.0,0.999622825136314,0.0229954221422281,,,,,,,320345,1440.0,4,8,0.9,295.214912,q_learning,False,,simulation ended,567,283,153,130,0.45936395759717313,362.6476834284673,228.78591195338083,12.505778783697268,1058.8647078563326,150.57266652830006,285,137.0,31,358,52,2,28,276,0.022995422142239107,1,1,1,1,1,1,1
9,321345,-124.0,26,0.0161786260340391,0.8883762692274901,0.0229954221422281,175.214912,120.0,0.999622825136314,0.0229954221422281,,,,,,,321345,1440.0,4,8,0.9,295.214912,q_learning,False,,simulation ended,572,276,149,127,0.4601449275362319,346.59835205349174,204.40598461859773,12.324706307787704,1002.2974992667457,142.01650264372986,297,124.0,32,354,23,1,52,278,0.022995422142239107,1,1,1,1,1,1,1
