replication,eval_seed,objective_value,q_table_size,alpha,gamma,target_final_epsilon,risk_t1,risk_window,epsilon_decay,epsilon_min,label,error,episode,baseline_rule,action_random_seed,best_total_reward_so_far,random_seed,run_duration,due_date_lower_bound,due_date_upper_bound,rate_multiplier,risk_t2,agent_type,training,fixed_action,msg,n_orders_created,n_orders_completed,n_orders_in_date,n_orders_late,late_order_fraction,time_in_system_mean,time_in_system_std,time_in_system_min,time_in_system_max,wip_mean,wip_max,total_reward,n_eval_failures,n_decision_points,action_0_count,action_1_count,action_2_count,action_3_count,epsilon,preparation_capacity,sorting_capacity,analysis1_capacity,analysis2_capacity,evaluation_capacity,dispatching_capacity,worker_capacity
0,312345,-868.0,24,0.06845538480510395,0.007454299459301937,0.06889097256322536,175.214912,758.004,0.9973283451073716,0.06889097256322536,,,,,,,312345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,487,271,184,87,0.3210332103321033,310.5613309715242,183.70618810686253,8.950989732365354,997.6433225851245,109.3254777929539,217,868.0,34,350,184,17,36,113,0.06889097256322775,1,1,1,1,1,1,1
1,313345,-427.0,24,0.06845538480510395,0.007454299459301937,0.06889097256322536,175.214912,758.004,0.9973283451073716,0.06889097256322536,,,,,,,313345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,562,280,166,114,0.40714285714285714,338.23214277316174,210.36659993009735,17.187548032176835,1086.3942812296102,135.416784777984,282,427.0,31,357,22,77,127,131,0.06889097256322775,1,1,1,1,1,1,1
2,314345,13.0,24,0.06845538480510395,0.007454299459301937,0.06889097256322536,175.214912,758.004,0.9973283451073716,0.06889097256322536,,,,,,,314345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,561,276,142,134,0.4855072463768116,374.745559335237,237.99970850653756,12.633594345573625,955.3170768725124,148.05837788147468,286,-13.0,31,359,13,179,62,105,0.06889097256322775,1,1,1,1,1,1,1
3,315345,-594.0,24,0.06845538480510395,0.007454299459301937,0.06889097256322536,175.214912,758.004,0.9973283451073716,0.06889097256322536,,,,,,,315345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,526,288,177,111,0.3854166666666667,330.12853289130265,201.766380529114,11.067006805049784,845.0633145895563,124.84367175576061,239,594.0,22,359,40,21,144,154,0.06889097256322775,1,1,1,1,1,1,1
4,316345,-11.0,24,0.06845538480510395,0.007454299459301937,0.06889097256322536,175.214912,758.004,0.9973283451073716,0.06889097256322536,,,,,,,316345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,584,281,146,135,0.4804270462633452,361.1967990031225,214.05651408934514,18.396518633717015,1065.3841315908924,152.08948657422883,304,11.0,33,357,23,59,25,250,0.06889097256322775,1,1,1,1,1,1,1
5,317345,-380.0,24,0.06845538480510395,0.007454299459301937,0.06889097256322536,175.214912,758.004,0.9973283451073716,0.06889097256322536,,,,,,,317345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,527,277,162,115,0.4151624548736462,334.8211201728709,202.83935704080386,10.790077922669727,1055.2977418572802,126.39784038075321,251,380.0,30,352,20,14,5,313,0.06889097256322775,1,1,1,1,1,1,1
6,318345,-147.0,24,0.06845538480510395,0.007454299459301937,0.06889097256322536,175.214912,758.004,0.9973283451073716,0.06889097256322536,,,,,,,318345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,552,282,153,129,0.4574468085106383,347.67016106679296,207.2775150601486,8.83969723567143,1053.7369070714562,130.76134924175673,271,147.0,31,360,37,11,23,289,0.06889097256322775,1,1,1,1,1,1,1
7,319345,-207.0,24,0.06845538480510395,0.007454299459301937,0.06889097256322536,175.214912,758.004,0.9973283451073716,0.06889097256322536,,,,,,,319345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,552,278,154,124,0.4460431654676259,339.7528083696126,198.91986622650379,11.613480675584368,971.8801142804472,132.63484639295993,274,207.0,31,357,296,7,14,40,0.06889097256322775,1,1,1,1,1,1,1
8,320345,3.0,24,0.06845538480510395,0.007454299459301937,0.06889097256322536,175.214912,758.004,0.9973283451073716,0.06889097256322536,,,,,,,320345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,567,283,146,137,0.4840989399293286,362.48372120160684,228.3659869982557,14.103620939431089,1046.779135933792,150.57266652830006,285,-3.0,31,358,280,22,38,18,0.06889097256322775,1,1,1,1,1,1,1
9,321345,-204.0,24,0.06845538480510395,0.007454299459301937,0.06889097256322536,175.214912,758.004,0.9973283451073716,0.06889097256322536,,,,,,,321345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,572,276,153,123,0.44565217391304346,347.5606114647644,206.5049833556307,12.324706307787704,956.3545582091127,142.01650264372986,297,204.0,32,354,208,17,43,86,0.06889097256322775,1,1,1,1,1,1,1
