replication,eval_seed,objective_value,q_table_size,alpha,gamma,epsilon_decay,epsilon_min,risk_t1,risk_window,label,error,episode,baseline_rule,action_random_seed,best_total_reward_so_far,random_seed,run_duration,due_date_lower_bound,due_date_upper_bound,rate_multiplier,risk_t2,agent_type,training,fixed_action,msg,n_orders_created,n_orders_completed,n_orders_in_date,n_orders_late,late_order_fraction,time_in_system_mean,time_in_system_std,time_in_system_min,time_in_system_max,wip_mean,wip_max,total_reward,n_eval_failures,n_decision_points,action_0_count,action_1_count,action_2_count,action_3_count,epsilon,preparation_capacity,sorting_capacity,analysis1_capacity,analysis2_capacity,evaluation_capacity,dispatching_capacity,worker_capacity
0,312345,-408.0,23,0.3220550875365734,0.8607261352241039,0.9992637801135891,0.08682622757740319,45.18554946407676,282.50871897675097,,,,,,,312345,1440.0,4,8,0.9,327.6942684408277,q_learning,False,,simulation ended,487,271,161,110,0.4059040590405904,312.4800401710485,181.88801395738153,8.950989732365354,909.783566413669,109.3254777929539,217,408.0,34,350,111,35,159,45,0.4787910350030909,1,1,1,1,1,1,1
1,313345,-87.0,23,0.3220550875365734,0.8607261352241039,0.9992637801135891,0.08682622757740319,45.18554946407676,282.50871897675097,,,,,,,313345,1440.0,4,8,0.9,327.6942684408277,q_learning,False,,simulation ended,562,280,149,131,0.46785714285714286,341.1900316459303,206.19671722868827,17.187548032176835,988.9728435400789,135.416784777984,282,87.0,31,357,116,55,151,35,0.4787910350030909,1,1,1,1,1,1,1
2,314345,-27.0,23,0.3220550875365734,0.8607261352241039,0.9992637801135891,0.08682622757740319,45.18554946407676,282.50871897675097,,,,,,,314345,1440.0,4,8,0.9,327.6942684408277,q_learning,False,,simulation ended,561,276,144,132,0.4782608695652174,370.5627779004944,230.04069257612153,12.633594345573625,1161.2638965644674,148.05837788147468,286,27.0,31,359,181,34,96,48,0.4787910350030909,1,1,1,1,1,1,1
3,315345,-34.0,23,0.3220550875365734,0.8607261352241039,0.9992637801135891,0.08682622757740319,45.18554946407676,282.50871897675097,,,,,,,315345,1440.0,4,8,0.9,327.6942684408277,q_learning,False,,simulation ended,526,288,149,139,0.4826388888888889,335.0560844600867,203.4601019574378,11.067006805049784,903.721689675582,124.84367175576061,239,34.0,22,359,56,68,90,145,0.4787910350030909,1,1,1,1,1,1,1
4,316345,269.0,23,0.3220550875365734,0.8607261352241039,0.9992637801135891,0.08682622757740319,45.18554946407676,282.50871897675097,,,,,,,316345,1440.0,4,8,0.9,327.6942684408277,q_learning,False,,simulation ended,584,281,132,149,0.5302491103202847,374.3719359765647,226.02506645389988,18.396518633717015,862.9723278879408,152.08948657422883,304,-269.0,33,357,27,152,31,147,0.4787910350030909,1,1,1,1,1,1,1
5,317345,-140.0,23,0.3220550875365734,0.8607261352241039,0.9992637801135891,0.08682622757740319,45.18554946407676,282.50871897675097,,,,,,,317345,1440.0,4,8,0.9,327.6942684408277,q_learning,False,,simulation ended,527,277,150,127,0.4584837545126354,339.2619939859913,210.36355208925912,10.790077922669727,872.1467456237366,126.39784038075321,251,140.0,30,352,2,273,21,56,0.4787910350030909,1,1,1,1,1,1,1
6,318345,13.0,23,0.3220550875365734,0.8607261352241039,0.9992637801135891,0.08682622757740319,45.18554946407676,282.50871897675097,,,,,,,318345,1440.0,4,8,0.9,327.6942684408277,q_learning,False,,simulation ended,552,282,145,137,0.4858156028368794,352.903765811962,209.88399292679046,8.83969723567143,789.8657069089925,130.76134924175673,271,-13.0,31,360,88,192,37,43,0.4787910350030909,1,1,1,1,1,1,1
7,319345,-227.0,23,0.3220550875365734,0.8607261352241039,0.9992637801135891,0.08682622757740319,45.18554946407676,282.50871897675097,,,,,,,319345,1440.0,4,8,0.9,327.6942684408277,q_learning,False,,simulation ended,552,278,155,123,0.44244604316546765,342.34107252209407,200.57019181444818,11.613480675584368,686.1713642537055,132.63484639295993,274,227.0,31,357,15,98,47,197,0.4787910350030909,1,1,1,1,1,1,1
8,320345,143.0,23,0.3220550875365734,0.8607261352241039,0.9992637801135891,0.08682622757740319,45.18554946407676,282.50871897675097,,,,,,,320345,1440.0,4,8,0.9,327.6942684408277,q_learning,False,,simulation ended,567,283,139,144,0.508833922261484,362.71231325143674,222.19218045119615,14.103620939431089,879.4929651517441,150.57266652830006,285,-143.0,31,358,52,64,9,233,0.4787910350030909,1,1,1,1,1,1,1
9,321345,56.0,23,0.3220550875365734,0.8607261352241039,0.9992637801135891,0.08682622757740319,45.18554946407676,282.50871897675097,,,,,,,321345,1440.0,4,8,0.9,327.6942684408277,q_learning,False,,simulation ended,572,276,140,136,0.4927536231884058,350.5884984221895,211.32114873286594,12.324706307787704,713.3671953296667,142.01650264372986,297,-56.0,32,354,42,65,30,217,0.4787910350030909,1,1,1,1,1,1,1
