replication,eval_seed,objective_value,q_table_size,alpha,gamma,target_final_epsilon,risk_t1,risk_window,epsilon_decay,epsilon_min,label,error,episode,baseline_rule,action_random_seed,best_total_reward_so_far,random_seed,run_duration,due_date_lower_bound,due_date_upper_bound,rate_multiplier,risk_t2,agent_type,training,fixed_action,msg,n_orders_created,n_orders_completed,n_orders_in_date,n_orders_late,late_order_fraction,time_in_system_mean,time_in_system_std,time_in_system_min,time_in_system_max,wip_mean,wip_max,total_reward,n_eval_failures,n_decision_points,action_0_count,action_1_count,action_2_count,action_3_count,epsilon,preparation_capacity,sorting_capacity,analysis1_capacity,analysis2_capacity,evaluation_capacity,dispatching_capacity,worker_capacity
0,312345,-848.0,26,0.0162253917251621,0.95,0.0005,175.214912,120.0,0.999240198549462,0.0005,,,,,,,312345,1440.0,4,8,0.9,295.214912,q_learning,False,,simulation ended,487,271,183,88,0.3247232472324723,310.5613309715242,185.59591034087651,8.950989732365354,997.6433225851245,109.3254777929539,217,848.0,34,350,173,60,27,90,0.0005000000000001874,1,1,1,1,1,1,1
1,313345,-447.0,26,0.0162253917251621,0.95,0.0005,175.214912,120.0,0.999240198549462,0.0005,,,,,,,313345,1440.0,4,8,0.9,295.214912,q_learning,False,,simulation ended,562,280,167,113,0.4035714285714286,335.20007560544803,198.5397439935953,17.187548032176835,1015.6946575113395,135.416784777984,282,447.0,31,357,192,89,25,51,0.0005000000000001874,1,1,1,1,1,1,1
2,314345,-127.0,26,0.0162253917251621,0.95,0.0005,175.214912,120.0,0.999240198549462,0.0005,,,,,,,314345,1440.0,4,8,0.9,295.214912,q_learning,False,,simulation ended,561,276,149,127,0.4601449275362319,365.2382328712013,219.2647361367052,12.633594345573625,794.4874481169156,148.05837788147468,286,127.0,31,359,211,77,35,36,0.0005000000000001874,1,1,1,1,1,1,1
3,315345,-574.0,26,0.0162253917251621,0.95,0.0005,175.214912,120.0,0.999240198549462,0.0005,,,,,,,315345,1440.0,4,8,0.9,295.214912,q_learning,False,,simulation ended,526,288,176,112,0.3888888888888889,330.12853289130265,202.4795126133857,11.067006805049784,950.6175290659335,124.84367175576061,239,574.0,22,359,186,96,11,66,0.0005000000000001874,1,1,1,1,1,1,1
4,316345,-91.0,26,0.0162253917251621,0.95,0.0005,175.214912,120.0,0.999240198549462,0.0005,,,,,,,316345,1440.0,4,8,0.9,295.214912,q_learning,False,,simulation ended,584,281,150,131,0.46619217081850534,361.32745815894873,213.26964320419137,18.396518633717015,1062.916918478226,152.08948657422883,304,91.0,33,357,203,86,40,28,0.0005000000000001874,1,1,1,1,1,1,1
5,317345,-400.0,26,0.0162253917251621,0.95,0.0005,175.214912,120.0,0.999240198549462,0.0005,,,,,,,317345,1440.0,4,8,0.9,295.214912,q_learning,False,,simulation ended,527,277,163,114,0.41155234657039713,334.8211201728709,200.14254298361348,10.790077922669727,1021.0136416543834,126.39784038075321,251,400.0,30,352,203,90,32,27,0.0005000000000001874,1,1,1,1,1,1,1
6,318345,-187.0,26,0.0162253917251621,0.95,0.0005,175.214912,120.0,0.999240198549462,0.0005,,,,,,,318345,1440.0,4,8,0.9,295.214912,q_learning,False,,simulation ended,552,282,155,127,0.450354609929078,347.7004677474524,206.58605752094869,8.83969723567143,1053.7369070714562,130.76134924175673,271,187.0,31,360,199,62,22,77,0.0005000000000001874,1,1,1,1,1,1,1
7,319345,-327.0,26,0.0162253917251621,0.95,0.0005,175.214912,120.0,0.999240198549462,0.0005,,,,,,,319345,1440.0,4,8,0.9,295.214912,q_learning,False,,simulation ended,552,278,160,118,0.4244604316546763,339.7538873876671,201.59464497312624,11.613480675584368,1044.3458508285476,132.63484639295993,274,327.0,31,357,201,86,8,62,0.0005000000000001874,1,1,1,1,1,1,1
8,320345,-97.0,26,0.0162253917251621,0.95,0.0005,175.214912,120.0,0.999240198549462,0.0005,,,,,,,320345,1440.0,4,8,0.9,295.214912,q_learning,False,,simulation ended,567,283,151,132,0.4664310954063604,362.6277188244072,229.02703425047915,12.505778783697268,1058.8647078563326,150.57266652830006,285,97.0,31,358,202,29,56,71,0.0005000000000001874,1,1,1,1,1,1,1
9,321345,-224.0,26,0.0162253917251621,0.95,0.0005,175.214912,120.0,0.999240198549462,0.0005,,,,,,,321345,1440.0,4,8,0.9,295.214912,q_learning,False,,simulation ended,572,276,154,122,0.4420289855072464,346.0631420939655,204.01258027700092,12.324706307787704,956.3545582091127,142.01650264372986,297,224.0,32,354,205,42,44,63,0.0005000000000001874,1,1,1,1,1,1,1
10,322345,-621.0,26,0.0162253917251621,0.95,0.0005,175.214912,120.0,0.999240198549462,0.0005,,,,,,,322345,1440.0,4,8,0.9,295.214912,q_learning,False,,simulation ended,561,297,183,114,0.3838383838383838,312.66772927658764,200.07383477738253,12.841325965380715,970.9373798712461,126.82927581498983,264,621.0,23,351,181,59,61,50,0.0005000000000001874,1,1,1,1,1,1,1
11,323345,249.0,26,0.0162253917251621,0.95,0.0005,175.214912,120.0,0.999240198549462,0.0005,,,,,,,323345,1440.0,4,8,0.9,295.214912,q_learning,False,,simulation ended,527,255,120,135,0.5294117647058824,402.63847968423164,220.67486448468824,9.889845300335054,1130.2070431065026,148.23287656560672,274,-249.0,33,351,235,29,25,62,0.0005000000000001874,1,1,1,1,1,1,1
12,324345,-465.0,26,0.0162253917251621,0.95,0.0005,175.214912,120.0,0.999240198549462,0.0005,,,,,,,324345,1440.0,4,8,0.9,295.214912,q_learning,False,,simulation ended,539,278,166,112,0.4028776978417266,331.6178225812488,177.6258688505134,11.679415142383341,885.5065771987861,120.2577648862026,262,465.0,25,358,212,57,13,76,0.0005000000000001874,1,1,1,1,1,1,1
13,325345,-170.0,26,0.0162253917251621,0.95,0.0005,175.214912,120.0,0.999240198549462,0.0005,,,,,,,325345,1440.0,4,8,0.9,295.214912,q_learning,False,,simulation ended,573,278,152,126,0.45323741007194246,367.353322331246,215.46107901517422,11.314777878645003,1125.9757227724263,150.52665345943666,295,170.0,30,357,198,86,13,60,0.0005000000000001874,1,1,1,1,1,1,1
14,326345,-388.0,26,0.0162253917251621,0.95,0.0005,175.214912,120.0,0.999240198549462,0.0005,,,,,,,326345,1440.0,4,8,0.9,295.214912,q_learning,False,,simulation ended,535,281,165,116,0.4128113879003559,343.19961615047737,203.8413046095199,11.82614240193756,1028.3303936826849,133.06154947202782,255,388.0,34,357,215,53,38,51,0.0005000000000001874,1,1,1,1,1,1,1
15,327345,-423.0,26,0.0162253917251621,0.95,0.0005,175.214912,120.0,0.999240198549462,0.0005,,,,,,,327345,1440.0,4,8,0.9,295.214912,q_learning,False,,simulation ended,556,294,171,123,0.41836734693877553,350.4980368138561,210.4686517197229,16.51933521675658,1000.2748793681374,136.6186340765332,264,423.0,19,357,191,48,39,79,0.0005000000000001874,1,1,1,1,1,1,1
16,328345,-54.0,26,0.0162253917251621,0.95,0.0005,175.214912,120.0,0.999240198549462,0.0005,,,,,,,328345,1440.0,4,8,0.9,295.214912,q_learning,False,,simulation ended,528,276,147,129,0.4673913043478261,346.3523680293097,191.33118130978636,9.866113810889903,885.4481863084262,129.12384642981777,252,54.0,42,355,205,84,10,56,0.0005000000000001874,1,1,1,1,1,1,1
17,329345,-621.0,26,0.0162253917251621,0.95,0.0005,175.214912,120.0,0.999240198549462,0.0005,,,,,,,329345,1440.0,4,8,0.9,295.214912,q_learning,False,,simulation ended,512,284,178,106,0.3732394366197183,311.01088465019143,187.69433123818658,9.879101366234648,933.1579161071397,110.08996564603814,229,621.0,33,358,199,54,46,59,0.0005000000000001874,1,1,1,1,1,1,1
18,330345,144.0,26,0.0162253917251621,0.95,0.0005,175.214912,120.0,0.999240198549462,0.0005,,,,,,,330345,1440.0,4,8,0.9,295.214912,q_learning,False,,simulation ended,613,276,135,141,0.5108695652173914,404.76249496638786,233.91192882158109,12.104969750158673,1178.8243982922327,175.8695387715625,338,-144.0,28,355,212,67,8,68,0.0005000000000001874,1,1,1,1,1,1,1
19,331345,-956.0,26,0.0162253917251621,0.95,0.0005,175.214912,120.0,0.999240198549462,0.0005,,,,,,,331345,1440.0,4,8,0.9,295.214912,q_learning,False,,simulation ended,528,278,191,87,0.3129496402877698,313.27484125555605,199.17979077001402,10.715534145572903,958.8789821787152,122.75888545668477,250,956.0,28,358,177,41,49,91,0.0005000000000001874,1,1,1,1,1,1,1
20,332345,-71.0,26,0.0162253917251621,0.95,0.0005,175.214912,120.0,0.999240198549462,0.0005,,,,,,,332345,1440.0,4,8,0.9,295.214912,q_learning,False,,simulation ended,595,283,150,133,0.46996466431095407,367.34619680079936,211.78978155513562,11.902551930267954,1098.1163371895407,159.54872356859133,313,71.0,33,355,215,75,3,62,0.0005000000000001874,1,1,1,1,1,1,1
21,333345,-534.0,26,0.0162253917251621,0.95,0.0005,175.214912,120.0,0.999240198549462,0.0005,,,,,,,333345,1440.0,4,8,0.9,295.214912,q_learning,False,,simulation ended,531,272,169,103,0.3786764705882353,317.2313760660303,196.78344600945363,11.350712639490974,857.9196186204716,123.75041321105593,262,534.0,42,348,186,97,15,50,0.0005000000000001874,1,1,1,1,1,1,1
22,334345,-191.0,26,0.0162253917251621,0.95,0.0005,175.214912,120.0,0.999240198549462,0.0005,,,,,,,334345,1440.0,4,8,0.9,295.214912,q_learning,False,,simulation ended,554,283,156,127,0.44876325088339225,370.4757028128609,208.66390352656344,9.86054462359245,1049.1012416172816,142.12413425519992,272,191.0,33,359,213,54,30,62,0.0005000000000001874,1,1,1,1,1,1,1
23,335345,-685.0,26,0.0162253917251621,0.95,0.0005,175.214912,120.0,0.999240198549462,0.0005,,,,,,,335345,1440.0,4,8,0.9,295.214912,q_learning,False,,simulation ended,521,283,181,102,0.36042402826855124,301.001041586522,185.52509465093874,11.00075071128366,982.8238447481737,114.11354165497497,238,685.0,35,357,176,105,34,42,0.0005000000000001874,1,1,1,1,1,1,1
24,336345,56.0,26,0.0162253917251621,0.95,0.0005,175.214912,120.0,0.999240198549462,0.0005,,,,,,,336345,1440.0,4,8,0.9,295.214912,q_learning,False,,simulation ended,576,279,140,139,0.4982078853046595,375.80385663583604,204.04920430416354,10.049527712952708,965.8655300608291,149.7635530452347,297,-56.0,22,359,234,46,45,34,0.0005000000000001874,1,1,1,1,1,1,1
25,337345,-402.0,26,0.0162253917251621,0.95,0.0005,175.214912,120.0,0.999240198549462,0.0005,,,,,,,337345,1440.0,4,8,0.9,295.214912,q_learning,False,,simulation ended,558,288,168,120,0.4166666666666667,337.02789183932055,197.00543423780522,14.850662774973113,997.5741085495247,134.83492285531082,270,402.0,26,356,187,81,23,65,0.0005000000000001874,1,1,1,1,1,1,1
26,338345,-1203.0,26,0.0162253917251621,0.95,0.0005,175.214912,120.0,0.999240198549462,0.0005,,,,,,,338345,1440.0,4,8,0.9,295.214912,q_learning,False,,simulation ended,505,283,206,77,0.27208480565371024,271.9423131038719,169.97292228316832,12.619527665270262,846.7219540778242,101.01474452687904,223,1203.0,29,358,147,87,46,78,0.0005000000000001874,1,1,1,1,1,1,1
27,339345,-350.0,26,0.0162253917251621,0.95,0.0005,175.214912,120.0,0.999240198549462,0.0005,,,,,,,339345,1440.0,4,8,0.9,295.214912,q_learning,False,,simulation ended,556,280,162,118,0.42142857142857143,334.6857763069785,206.32288221376834,12.971094116126267,1033.2277899120973,132.8785693544596,278,350.0,30,358,203,88,20,47,0.0005000000000001874,1,1,1,1,1,1,1
28,340345,-314.0,26,0.0162253917251621,0.95,0.0005,175.214912,120.0,0.999240198549462,0.0005,,,,,,,340345,1440.0,4,8,0.9,295.214912,q_learning,False,,simulation ended,570,290,164,126,0.43448275862068964,348.2157762346129,190.77641306651233,11.439374389418877,922.3537984005372,135.13095355104335,280,314.0,22,357,198,65,48,46,0.0005000000000001874,1,1,1,1,1,1,1
29,341345,-264.0,26,0.0162253917251621,0.95,0.0005,175.214912,120.0,0.999240198549462,0.0005,,,,,,,341345,1440.0,4,8,0.9,295.214912,q_learning,False,,simulation ended,572,286,161,125,0.4370629370629371,360.36821347237986,202.27554115412957,12.492307912519305,1077.4928012613684,146.04426334596488,287,264.0,32,360,205,70,14,71,0.0005000000000001874,1,1,1,1,1,1,1
