replication,eval_seed,objective_value,q_table_size,alpha,gamma,target_final_epsilon,risk_t1,risk_window,epsilon_decay,epsilon_min,label,error,episode,baseline_rule,action_random_seed,best_total_reward_so_far,random_seed,run_duration,due_date_lower_bound,due_date_upper_bound,rate_multiplier,risk_t2,agent_type,training,fixed_action,msg,n_orders_created,n_orders_completed,n_orders_in_date,n_orders_late,late_order_fraction,time_in_system_mean,time_in_system_std,time_in_system_min,time_in_system_max,wip_mean,wip_max,total_reward,n_eval_failures,n_decision_points,action_0_count,action_1_count,action_2_count,action_3_count,epsilon,preparation_capacity,sorting_capacity,analysis1_capacity,analysis2_capacity,evaluation_capacity,dispatching_capacity,worker_capacity
0,312345,-548.0,24,0.010355876248315334,0.95,0.009188724135571081,175.214912,758.004,0.995321201654593,0.009188724135571081,,,,,,,312345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,487,271,168,103,0.3800738007380074,310.32177796081766,182.8850789873323,8.950989732365354,909.783566413669,109.3254777929539,217,548.0,34,350,104,52,194,0,0.009188724135571081,1,1,1,1,1,1,1
1,313345,-227.0,24,0.010355876248315334,0.95,0.009188724135571081,175.214912,758.004,0.995321201654593,0.009188724135571081,,,,,,,313345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,562,280,156,124,0.44285714285714284,335.37554245579213,196.78039150544,17.187548032176835,1010.0276943908199,135.416784777984,282,227.0,31,357,70,79,198,10,0.009188724135571081,1,1,1,1,1,1,1
2,314345,-27.0,24,0.010355876248315334,0.95,0.009188724135571081,175.214912,758.004,0.995321201654593,0.009188724135571081,,,,,,,314345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,561,276,144,132,0.4782608695652174,365.2468628250418,219.39370482454012,12.633594345573625,857.6635977688006,148.05837788147468,286,27.0,31,359,65,55,225,14,0.009188724135571081,1,1,1,1,1,1,1
3,315345,-334.0,24,0.010355876248315334,0.95,0.009188724135571081,175.214912,758.004,0.995321201654593,0.009188724135571081,,,,,,,315345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,526,288,164,124,0.4305555555555556,330.3677014857101,201.47149901779161,11.067006805049784,931.6008957679637,124.84367175576061,239,334.0,22,359,111,58,189,1,0.009188724135571081,1,1,1,1,1,1,1
4,316345,49.0,24,0.010355876248315334,0.95,0.009188724135571081,175.214912,758.004,0.995321201654593,0.009188724135571081,,,,,,,316345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,584,281,143,138,0.49110320284697506,361.5152230382338,210.57499685346352,18.396518633717015,1076.0385424784645,152.08948657422883,304,-49.0,33,357,106,38,209,4,0.009188724135571081,1,1,1,1,1,1,1
5,317345,-360.0,24,0.010355876248315334,0.95,0.009188724135571081,175.214912,758.004,0.995321201654593,0.009188724135571081,,,,,,,317345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,527,277,161,116,0.4187725631768953,334.1868208505045,199.03834223295206,10.790077922669727,1027.950301586407,126.39784038075321,251,360.0,30,352,83,60,202,7,0.009188724135571081,1,1,1,1,1,1,1
6,318345,-67.0,24,0.010355876248315334,0.95,0.009188724135571081,175.214912,758.004,0.995321201654593,0.009188724135571081,,,,,,,318345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,552,282,149,133,0.4716312056737589,347.8048320729473,202.2797190644159,8.83969723567143,1000.2430306151637,130.76134924175673,271,67.0,31,360,96,42,212,10,0.009188724135571081,1,1,1,1,1,1,1
7,319345,-107.0,24,0.010355876248315334,0.95,0.009188724135571081,175.214912,758.004,0.995321201654593,0.009188724135571081,,,,,,,319345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,552,278,149,129,0.46402877697841727,339.91619582071985,200.37273646077932,11.613480675584368,964.8701965917235,132.63484639295993,274,107.0,31,357,136,0,207,14,0.009188724135571081,1,1,1,1,1,1,1
8,320345,23.0,24,0.010355876248315334,0.95,0.009188724135571081,175.214912,758.004,0.995321201654593,0.009188724135571081,,,,,,,320345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,567,283,145,138,0.4876325088339223,362.51320410662254,229.0961681054187,14.103620939431089,1046.779135933792,150.57266652830006,285,-23.0,31,358,96,4,224,34,0.009188724135571081,1,1,1,1,1,1,1
9,321345,-84.0,24,0.010355876248315334,0.95,0.009188724135571081,175.214912,758.004,0.995321201654593,0.009188724135571081,,,,,,,321345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,572,276,147,129,0.4673913043478261,346.7121429248607,206.10817545276092,12.324706307787704,948.1399454287478,142.01650264372986,297,84.0,32,354,79,0,237,38,0.009188724135571081,1,1,1,1,1,1,1
