replication,eval_seed,objective_value,q_table_size,alpha,gamma,target_final_epsilon,risk_t1,risk_window,epsilon_decay,epsilon_min,label,error,episode,baseline_rule,action_random_seed,best_total_reward_so_far,random_seed,run_duration,due_date_lower_bound,due_date_upper_bound,rate_multiplier,risk_t2,agent_type,training,fixed_action,msg,n_orders_created,n_orders_completed,n_orders_in_date,n_orders_late,late_order_fraction,time_in_system_mean,time_in_system_std,time_in_system_min,time_in_system_max,wip_mean,wip_max,total_reward,n_eval_failures,n_decision_points,action_0_count,action_1_count,action_2_count,action_3_count,epsilon,preparation_capacity,sorting_capacity,analysis1_capacity,analysis2_capacity,evaluation_capacity,dispatching_capacity,worker_capacity
0,312345,-468.0,24,0.034296505570154866,0.2,0.08,175.214912,758.004,0.9974774583245799,0.08,,,,,,,312345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,487,271,164,107,0.3948339483394834,310.32286200708234,182.68571582319015,8.950989732365354,909.783566413669,109.3254777929539,217,468.0,34,350,16,4,87,243,0.08,1,1,1,1,1,1,1
1,313345,-87.0,24,0.034296505570154866,0.2,0.08,175.214912,758.004,0.9974774583245799,0.08,,,,,,,313345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,562,280,149,131,0.46785714285714286,335.3926431516717,194.32283027919837,17.187548032176835,1006.3077196225072,135.416784777984,282,87.0,31,357,56,1,103,197,0.08,1,1,1,1,1,1,1
2,314345,53.0,24,0.034296505570154866,0.2,0.08,175.214912,758.004,0.9974774583245799,0.08,,,,,,,314345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,561,276,140,136,0.4927536231884058,365.738779602826,217.65628133349296,12.633594345573625,777.0849836028766,148.05837788147468,286,-53.0,31,359,37,17,123,182,0.08,1,1,1,1,1,1,1
3,315345,-334.0,24,0.034296505570154866,0.2,0.08,175.214912,758.004,0.9974774583245799,0.08,,,,,,,315345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,526,288,164,124,0.4305555555555556,330.4143495645012,200.55326154710804,11.067006805049784,900.4312366043307,124.84367175576061,239,334.0,22,359,54,21,225,59,0.08,1,1,1,1,1,1,1
4,316345,-11.0,24,0.034296505570154866,0.2,0.08,175.214912,758.004,0.9974774583245799,0.08,,,,,,,316345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,584,281,146,135,0.4804270462633452,361.4848435121469,211.1068068758656,18.396518633717015,1090.6752764319076,152.08948657422883,304,11.0,33,357,42,59,37,219,0.08,1,1,1,1,1,1,1
5,317345,-300.0,24,0.034296505570154866,0.2,0.08,175.214912,758.004,0.9974774583245799,0.08,,,,,,,317345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,527,277,158,119,0.4296028880866426,334.1868208505045,200.12903440787682,10.790077922669727,1053.1100904144546,126.39784038075321,251,300.0,30,352,30,81,38,203,0.08,1,1,1,1,1,1,1
6,318345,-27.0,24,0.034296505570154866,0.2,0.08,175.214912,758.004,0.9974774583245799,0.08,,,,,,,318345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,552,282,147,135,0.4787234042553192,347.78787774197724,206.085999078074,8.83969723567143,1145.459949950943,130.76134924175673,271,27.0,31,360,12,35,111,202,0.08,1,1,1,1,1,1,1
7,319345,-107.0,24,0.034296505570154866,0.2,0.08,175.214912,758.004,0.9974774583245799,0.08,,,,,,,319345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,552,278,149,129,0.46402877697841727,339.91619582071985,200.46834704585743,11.613480675584368,964.8701965917235,132.63484639295993,274,107.0,31,357,8,20,328,1,0.08,1,1,1,1,1,1,1
8,320345,-37.0,24,0.034296505570154866,0.2,0.08,175.214912,758.004,0.9974774583245799,0.08,,,,,,,320345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,567,283,148,135,0.47703180212014135,365.3872951053757,236.87232301062855,14.103620939431089,1169.39781981733,150.57266652830006,285,37.0,31,358,11,11,280,56,0.08,1,1,1,1,1,1,1
9,321345,96.0,24,0.034296505570154866,0.2,0.08,175.214912,758.004,0.9974774583245799,0.08,,,,,,,321345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,572,276,138,138,0.5,346.24397500435407,208.14434851976904,12.324706307787704,1002.2974992667457,142.01650264372986,297,-96.0,32,354,7,17,96,234,0.08,1,1,1,1,1,1,1
