replication,eval_seed,objective_value,q_table_size,alpha,gamma,target_final_epsilon,risk_t1,risk_window,epsilon_decay,epsilon_min,label,error,episode,baseline_rule,action_random_seed,best_total_reward_so_far,random_seed,run_duration,due_date_lower_bound,due_date_upper_bound,rate_multiplier,risk_t2,agent_type,training,fixed_action,msg,n_orders_created,n_orders_completed,n_orders_in_date,n_orders_late,late_order_fraction,time_in_system_mean,time_in_system_std,time_in_system_min,time_in_system_max,wip_mean,wip_max,total_reward,n_eval_failures,n_decision_points,action_0_count,action_1_count,action_2_count,action_3_count,epsilon,preparation_capacity,sorting_capacity,analysis1_capacity,analysis2_capacity,evaluation_capacity,dispatching_capacity,worker_capacity
0,312345,-588.0,24,0.06935252146718375,0.03316804224536703,0.04809905625459649,175.214912,758.004,0.9969701066970142,0.04809905625459649,,,,,,,312345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,487,271,170,101,0.3726937269372694,311.91270878783297,187.0959887702704,8.950989732365354,782.2150051281255,109.3254777929539,217,588.0,34,350,41,194,12,103,0.0480990562545988,1,1,1,1,1,1,1
1,313345,-447.0,24,0.06935252146718375,0.03316804224536703,0.04809905625459649,175.214912,758.004,0.9969701066970142,0.04809905625459649,,,,,,,313345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,562,280,167,113,0.4035714285714286,338.2221942376772,206.47976756307025,17.187548032176835,1031.8711437387042,135.416784777984,282,447.0,31,357,141,139,25,52,0.0480990562545988,1,1,1,1,1,1,1
2,314345,73.0,24,0.06935252146718375,0.03316804224536703,0.04809905625459649,175.214912,758.004,0.9969701066970142,0.04809905625459649,,,,,,,314345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,561,276,139,137,0.4963768115942029,374.16005449738515,233.82389495215372,12.633594345573625,890.1958522836642,148.05837788147468,286,-73.0,31,359,27,182,86,64,0.0480990562545988,1,1,1,1,1,1,1
3,315345,-574.0,24,0.06935252146718375,0.03316804224536703,0.04809905625459649,175.214912,758.004,0.9969701066970142,0.04809905625459649,,,,,,,315345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,526,288,176,112,0.3888888888888889,330.8077387999166,201.10739083334596,11.067006805049784,845.0633145895563,124.84367175576061,239,574.0,22,359,25,95,170,69,0.0480990562545988,1,1,1,1,1,1,1
4,316345,129.0,24,0.06935252146718375,0.03316804224536703,0.04809905625459649,175.214912,758.004,0.9969701066970142,0.04809905625459649,,,,,,,316345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,584,281,139,142,0.505338078291815,373.08813949639466,224.05916668222685,18.396518633717015,856.7312245637518,152.08948657422883,304,-129.0,33,357,139,157,28,33,0.0480990562545988,1,1,1,1,1,1,1
5,317345,-440.0,24,0.06935252146718375,0.03316804224536703,0.04809905625459649,175.214912,758.004,0.9969701066970142,0.04809905625459649,,,,,,,317345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,527,277,165,112,0.4043321299638989,334.46984139193387,196.30218893144527,10.790077922669727,1021.0136416543834,126.39784038075321,251,440.0,30,352,253,11,23,65,0.0480990562545988,1,1,1,1,1,1,1
6,318345,-147.0,24,0.06935252146718375,0.03316804224536703,0.04809905625459649,175.214912,758.004,0.9969701066970142,0.04809905625459649,,,,,,,318345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,552,282,153,129,0.4574468085106383,347.71506007111645,205.6069303889956,8.83969723567143,1053.7369070714562,130.76134924175673,271,147.0,31,360,225,13,8,114,0.0480990562545988,1,1,1,1,1,1,1
7,319345,-327.0,24,0.06935252146718375,0.03316804224536703,0.04809905625459649,175.214912,758.004,0.9969701066970142,0.04809905625459649,,,,,,,319345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,552,278,160,118,0.4244604316546763,339.7258800294629,198.67733314531958,11.613480675584368,1044.3458508285476,132.63484639295993,274,327.0,31,357,45,7,19,286,0.0480990562545988,1,1,1,1,1,1,1
8,320345,-137.0,24,0.06935252146718375,0.03316804224536703,0.04809905625459649,175.214912,758.004,0.9969701066970142,0.04809905625459649,,,,,,,320345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,567,283,153,130,0.45936395759717313,362.6476834284673,228.7060776341399,14.103620939431089,1058.8647078563326,150.57266652830006,285,137.0,31,358,55,9,20,274,0.0480990562545988,1,1,1,1,1,1,1
9,321345,-124.0,24,0.06935252146718375,0.03316804224536703,0.04809905625459649,175.214912,758.004,0.9969701066970142,0.04809905625459649,,,,,,,321345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,572,276,149,127,0.4601449275362319,349.418029328915,209.03057095550935,12.324706307787704,1002.2974992667457,142.01650264372986,297,124.0,32,354,58,16,18,262,0.0480990562545988,1,1,1,1,1,1,1
