replication,eval_seed,objective_value,q_table_size,alpha,gamma,target_final_epsilon,risk_t1,risk_window,epsilon_decay,epsilon_min,label,error,episode,baseline_rule,action_random_seed,best_total_reward_so_far,random_seed,run_duration,due_date_lower_bound,due_date_upper_bound,rate_multiplier,risk_t2,agent_type,training,fixed_action,msg,n_orders_created,n_orders_completed,n_orders_in_date,n_orders_late,late_order_fraction,time_in_system_mean,time_in_system_std,time_in_system_min,time_in_system_max,wip_mean,wip_max,total_reward,n_eval_failures,n_decision_points,action_0_count,action_1_count,action_2_count,action_3_count,epsilon,preparation_capacity,sorting_capacity,analysis1_capacity,analysis2_capacity,evaluation_capacity,dispatching_capacity,worker_capacity
0,312345,-768.0,24,0.05710836276898865,0.8,0.015897024694947616,175.214912,758.004,0.9958669413804732,0.015897024694947616,,,,,,,312345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,487,271,179,92,0.33948339483394835,310.4323371966974,186.2206127669702,8.950989732365354,997.6433225851245,109.3254777929539,217,768.0,34,350,6,23,7,314,0.015897024694947623,1,1,1,1,1,1,1
1,313345,-427.0,24,0.05710836276898865,0.8,0.015897024694947616,175.214912,758.004,0.9958669413804732,0.015897024694947616,,,,,,,313345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,562,280,166,114,0.40714285714285714,335.3293992631234,203.28328303844611,17.187548032176835,1088.4022945918748,135.416784777984,282,427.0,31,357,5,24,6,322,0.015897024694947623,1,1,1,1,1,1,1
2,314345,-107.0,24,0.05710836276898865,0.8,0.015897024694947616,175.214912,758.004,0.9958669413804732,0.015897024694947616,,,,,,,314345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,561,276,148,128,0.463768115942029,365.3017878399713,220.1110071111927,12.633594345573625,794.4874481169156,148.05837788147468,286,107.0,31,359,6,21,41,291,0.015897024694947623,1,1,1,1,1,1,1
3,315345,-494.0,24,0.05710836276898865,0.8,0.015897024694947616,175.214912,758.004,0.9958669413804732,0.015897024694947616,,,,,,,315345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,526,288,172,116,0.4027777777777778,330.0828643303676,204.36164145078746,11.067006805049784,950.6175290659335,124.84367175576061,239,494.0,22,359,3,29,15,312,0.015897024694947623,1,1,1,1,1,1,1
4,316345,-91.0,24,0.05710836276898865,0.8,0.015897024694947616,175.214912,758.004,0.9958669413804732,0.015897024694947616,,,,,,,316345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,584,281,150,131,0.46619217081850534,361.1306788484811,211.99982466889887,18.396518633717015,1065.3841315908924,152.08948657422883,304,91.0,33,357,5,19,34,299,0.015897024694947623,1,1,1,1,1,1,1
5,317345,-440.0,24,0.05710836276898865,0.8,0.015897024694947616,175.214912,758.004,0.9958669413804732,0.015897024694947616,,,,,,,317345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,527,277,165,112,0.4043321299638989,334.46984139193387,196.2212293861243,10.790077922669727,1021.0136416543834,126.39784038075321,251,440.0,30,352,6,17,252,77,0.015897024694947623,1,1,1,1,1,1,1
6,318345,-167.0,24,0.05710836276898865,0.8,0.015897024694947616,175.214912,758.004,0.9958669413804732,0.015897024694947616,,,,,,,318345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,552,282,154,128,0.45390070921985815,347.7004677474524,206.5924934480095,8.83969723567143,1053.7369070714562,130.76134924175673,271,167.0,31,360,4,0,238,118,0.015897024694947623,1,1,1,1,1,1,1
7,319345,-347.0,24,0.05710836276898865,0.8,0.015897024694947616,175.214912,758.004,0.9958669413804732,0.015897024694947616,,,,,,,319345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,552,278,161,117,0.420863309352518,339.7258800294629,199.9514002117241,11.613480675584368,1044.3458508285476,132.63484639295993,274,347.0,31,357,0,5,49,303,0.015897024694947623,1,1,1,1,1,1,1
8,320345,-117.0,24,0.05710836276898865,0.8,0.015897024694947616,175.214912,758.004,0.9958669413804732,0.015897024694947616,,,,,,,320345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,567,283,152,131,0.4628975265017668,362.5809572719366,230.43444570498937,14.103620939431089,1058.8647078563326,150.57266652830006,285,117.0,31,358,18,2,63,275,0.015897024694947623,1,1,1,1,1,1,1
9,321345,-224.0,24,0.05710836276898865,0.8,0.015897024694947616,175.214912,758.004,0.9958669413804732,0.015897024694947616,,,,,,,321345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,572,276,154,122,0.4420289855072464,346.0631420939655,203.746798459582,12.324706307787704,956.3545582091127,142.01650264372986,297,224.0,32,354,16,4,243,91,0.015897024694947623,1,1,1,1,1,1,1
