replication,eval_seed,objective_value,q_table_size,alpha,gamma,epsilon_decay,epsilon_min,risk_t1,risk_window,label,error,episode,baseline_rule,action_random_seed,best_total_reward_so_far,random_seed,run_duration,due_date_lower_bound,due_date_upper_bound,rate_multiplier,risk_t2,agent_type,training,fixed_action,msg,n_orders_created,n_orders_completed,n_orders_in_date,n_orders_late,late_order_fraction,time_in_system_mean,time_in_system_std,time_in_system_min,time_in_system_max,wip_mean,wip_max,total_reward,n_eval_failures,n_decision_points,action_0_count,action_1_count,action_2_count,action_3_count,epsilon,preparation_capacity,sorting_capacity,analysis1_capacity,analysis2_capacity,evaluation_capacity,dispatching_capacity,worker_capacity
0,312345,-448.0,23,0.02,0.7,0.9999320129117404,0.01,120.0,360.0,,,,,,,312345,1440.0,4,8,0.9,480.0,q_learning,False,,simulation ended,487,271,163,108,0.3985239852398524,312.18808670568023,186.2898878813779,8.950989732365354,858.2987919396725,109.3254777929539,217,448.0,34,350,11,75,19,245,0.9342703772705093,1,1,1,1,1,1,1
1,313345,-247.0,23,0.02,0.7,0.9999320129117404,0.01,120.0,360.0,,,,,,,313345,1440.0,4,8,0.9,480.0,q_learning,False,,simulation ended,562,280,157,123,0.4392857142857143,336.3899468083444,205.3227892110066,17.187548032176835,1204.4668108825322,135.416784777984,282,247.0,31,357,21,75,151,110,0.9342703772705093,1,1,1,1,1,1,1
2,314345,153.0,23,0.02,0.7,0.9999320129117404,0.01,120.0,360.0,,,,,,,314345,1440.0,4,8,0.9,480.0,q_learning,False,,simulation ended,561,276,135,141,0.5108695652173914,369.4023555950902,228.45621083737473,12.633594345573625,1141.7556563010467,148.05837788147468,286,-153.0,31,359,65,29,13,252,0.9342703772705093,1,1,1,1,1,1,1
3,315345,-274.0,23,0.02,0.7,0.9999320129117404,0.01,120.0,360.0,,,,,,,315345,1440.0,4,8,0.9,480.0,q_learning,False,,simulation ended,526,288,161,127,0.4409722222222222,330.5692929795128,202.4804590941052,11.067006805049784,748.6594509689133,124.84367175576061,239,274.0,22,359,168,57,16,118,0.9342703772705093,1,1,1,1,1,1,1
4,316345,89.0,23,0.02,0.7,0.9999320129117404,0.01,120.0,360.0,,,,,,,316345,1440.0,4,8,0.9,480.0,q_learning,False,,simulation ended,584,281,141,140,0.498220640569395,363.7352549980627,218.08676721504463,18.396518633717015,1084.399565082271,152.08948657422883,304,-89.0,33,357,176,46,34,101,0.9342703772705093,1,1,1,1,1,1,1
5,317345,-300.0,23,0.02,0.7,0.9999320129117404,0.01,120.0,360.0,,,,,,,317345,1440.0,4,8,0.9,480.0,q_learning,False,,simulation ended,527,277,158,119,0.4296028880866426,335.4024451848153,203.62608855213554,10.790077922669727,1006.3665999381559,126.39784038075321,251,300.0,30,352,6,72,215,59,0.9342703772705093,1,1,1,1,1,1,1
6,318345,-47.0,23,0.02,0.7,0.9999320129117404,0.01,120.0,360.0,,,,,,,318345,1440.0,4,8,0.9,480.0,q_learning,False,,simulation ended,552,282,148,134,0.475177304964539,347.37829566037504,208.20463635853156,8.83969723567143,1046.5073601505264,130.76134924175673,271,47.0,31,360,33,22,185,120,0.9342703772705093,1,1,1,1,1,1,1
7,319345,-327.0,23,0.02,0.7,0.9999320129117404,0.01,120.0,360.0,,,,,,,319345,1440.0,4,8,0.9,480.0,q_learning,False,,simulation ended,552,278,160,118,0.4244604316546763,340.6545498013627,200.20711545465065,11.613480675584368,983.7717102060137,132.63484639295993,274,327.0,31,357,211,40,27,79,0.9342703772705093,1,1,1,1,1,1,1
8,320345,243.0,23,0.02,0.7,0.9999320129117404,0.01,120.0,360.0,,,,,,,320345,1440.0,4,8,0.9,480.0,q_learning,False,,simulation ended,567,283,134,149,0.5265017667844523,369.24036530774,232.08991980389183,14.103620939431089,902.3820238777023,150.57266652830006,285,-243.0,31,358,145,114,17,82,0.9342703772705093,1,1,1,1,1,1,1
9,321345,-4.0,23,0.02,0.7,0.9999320129117404,0.01,120.0,360.0,,,,,,,321345,1440.0,4,8,0.9,480.0,q_learning,False,,simulation ended,572,276,143,133,0.48188405797101447,345.6735041523527,205.719005554803,12.324706307787704,936.3622012597575,142.01650264372986,297,4.0,32,354,66,9,2,277,0.9342703772705093,1,1,1,1,1,1,1
