label,error,replication,eval_seed,episode,baseline_rule,action_random_seed,q_table_size,best_total_reward_so_far,random_seed,run_duration,due_date_lower_bound,due_date_upper_bound,rate_multiplier,risk_t1,risk_window,risk_t2,agent_type,training,fixed_action,msg,n_orders_created,n_orders_completed,n_orders_in_date,n_orders_late,late_order_fraction,time_in_system_mean,time_in_system_std,time_in_system_min,time_in_system_max,wip_mean,wip_max,total_reward,n_eval_failures,n_decision_points,action_0_count,action_1_count,action_2_count,action_3_count,epsilon,preparation_capacity,sorting_capacity,analysis1_capacity,analysis2_capacity,evaluation_capacity,dispatching_capacity,worker_capacity
,,0,312345,,,,26,,312345,1440,4,8,0.9,175.214912,120.0,295.214912,q_learning,False,,simulation ended,487,271,156,115,0.42435424354243545,311.91270878783297,184.26550482034645,8.950989732365354,782.2150051281255,109.3254777929539,217,308.0,34,350,23,154,117,56,0.05,1,1,1,1,1,1,1
,,1,313345,,,,26,,313345,1440,4,8,0.9,175.214912,120.0,295.214912,q_learning,False,,simulation ended,562,280,157,123,0.4392857142857143,335.37554245579213,196.69350819472024,17.187548032176835,1015.6946575113395,135.416784777984,282,247.0,31,357,201,82,46,28,0.05,1,1,1,1,1,1,1
,,2,314345,,,,26,,314345,1440,4,8,0.9,175.214912,120.0,295.214912,q_learning,False,,simulation ended,561,276,146,130,0.47101449275362317,367.4849653523118,223.3914505187909,12.633594345573625,1113.281703833837,148.05837788147468,286,67.0,31,359,19,51,44,245,0.05,1,1,1,1,1,1,1
,,3,315345,,,,26,,315345,1440,4,8,0.9,175.214912,120.0,295.214912,q_learning,False,,simulation ended,526,288,171,117,0.40625,330.0828643303676,202.10146119951472,11.067006805049784,950.6175290659335,124.84367175576061,239,474.0,22,359,5,23,14,317,0.05,1,1,1,1,1,1,1
,,4,316345,,,,26,,316345,1440,4,8,0.9,175.214912,120.0,295.214912,q_learning,False,,simulation ended,584,281,141,140,0.498220640569395,365.23683586748956,216.94854588138375,18.396518633717015,1076.0385424784645,152.08948657422883,304,-89.0,33,357,124,23,7,203,0.05,1,1,1,1,1,1,1
,,5,317345,,,,26,,317345,1440,4,8,0.9,175.214912,120.0,295.214912,q_learning,False,,simulation ended,527,277,164,113,0.40794223826714804,334.46984139193387,197.75336308766273,10.790077922669727,1021.0136416543834,126.39784038075321,251,420.0,30,352,21,16,214,101,0.05,1,1,1,1,1,1,1
,,6,318345,,,,26,,318345,1440,4,8,0.9,175.214912,120.0,295.214912,q_learning,False,,simulation ended,552,282,155,127,0.450354609929078,347.7155212260637,206.4491022776496,8.83969723567143,1053.7369070714562,130.76134924175673,271,187.0,31,360,32,34,190,104,0.05,1,1,1,1,1,1,1
,,7,319345,,,,26,,319345,1440,4,8,0.9,175.214912,120.0,295.214912,q_learning,False,,simulation ended,552,278,160,118,0.4244604316546763,339.7538873876671,199.3770823372759,11.613480675584368,1044.3458508285476,132.63484639295993,274,327.0,31,357,25,37,217,78,0.05,1,1,1,1,1,1,1
,,8,320345,,,,26,,320345,1440,4,8,0.9,175.214912,120.0,295.214912,q_learning,False,,simulation ended,567,283,153,130,0.45936395759717313,364.3446893411833,231.1465778040395,12.505778783697268,1066.0812896093398,150.57266652830006,285,137.0,31,358,52,9,191,106,0.05,1,1,1,1,1,1,1
,,9,321345,,,,26,,321345,1440,4,8,0.9,175.214912,120.0,295.214912,q_learning,False,,simulation ended,572,276,142,134,0.4855072463768116,352.9217942845119,215.68787749622498,12.324706307787704,881.0134353766297,142.01650264372986,297,-16.0,32,354,56,174,35,89,0.05,1,1,1,1,1,1,1
,,10,322345,,,,26,,322345,1440,4,8,0.9,175.214912,120.0,295.214912,q_learning,False,,simulation ended,561,297,174,123,0.41414141414141414,316.038021537699,207.11156477997181,12.841325965380715,764.931378113352,126.82927581498983,264,441.0,23,351,17,152,73,109,0.05,1,1,1,1,1,1,1
,,11,323345,,,,26,,323345,1440,4,8,0.9,175.214912,120.0,295.214912,q_learning,False,,simulation ended,527,255,121,134,0.5254901960784314,402.63847968423164,221.15235480104235,9.889845300335054,1130.2070431065026,148.23287656560672,274,-229.0,33,351,257,6,15,73,0.05,1,1,1,1,1,1,1
,,12,324345,,,,26,,324345,1440,4,8,0.9,175.214912,120.0,295.214912,q_learning,False,,simulation ended,539,278,149,129,0.46402877697841727,331.61782258124884,172.23098701554449,11.679415142383341,764.8933949123773,120.2577648862026,262,125.0,25,358,233,1,122,2,0.05,1,1,1,1,1,1,1
,,13,325345,,,,26,,325345,1440,4,8,0.9,175.214912,120.0,295.214912,q_learning,False,,simulation ended,573,278,137,141,0.5071942446043165,367.632978292526,211.37303625137739,11.314777878645003,1073.9568298527256,150.52665345943666,295,-130.0,30,357,338,10,0,9,0.05,1,1,1,1,1,1,1
,,14,326345,,,,26,,326345,1440,4,8,0.9,175.214912,120.0,295.214912,q_learning,False,,simulation ended,535,281,152,129,0.45907473309608543,343.31641968937925,201.58489789776502,11.82614240193756,1017.5941576900707,133.06154947202782,255,128.0,34,357,332,0,8,17,0.05,1,1,1,1,1,1,1
,,15,327345,,,,26,,327345,1440,4,8,0.9,175.214912,120.0,295.214912,q_learning,False,,simulation ended,556,294,169,125,0.42517006802721086,350.4980368138561,209.91882784960936,16.51933521675658,1014.3976699992986,136.6186340765332,264,383.0,19,357,199,1,39,118,0.05,1,1,1,1,1,1,1
,,16,328345,,,,26,,328345,1440,4,8,0.9,175.214912,120.0,295.214912,q_learning,False,,simulation ended,528,276,150,126,0.45652173913043476,346.3817763698504,191.89471098572764,9.866113810889903,879.0597669183327,129.12384642981777,252,114.0,42,355,208,7,56,84,0.05,1,1,1,1,1,1,1
,,17,329345,,,,26,,329345,1440,4,8,0.9,175.214912,120.0,295.214912,q_learning,False,,simulation ended,512,284,178,106,0.3732394366197183,311.0108846501915,188.93547382615623,9.879101366234648,933.1579161071397,110.08996564603814,229,621.0,33,358,200,18,47,93,0.05,1,1,1,1,1,1,1
,,18,330345,,,,26,,330345,1440,4,8,0.9,175.214912,120.0,295.214912,q_learning,False,,simulation ended,613,276,135,141,0.5108695652173914,404.76249496638786,233.91192882158109,12.104969750158673,1178.8243982922327,175.8695387715625,338,-144.0,28,355,211,64,4,76,0.05,1,1,1,1,1,1,1
,,19,331345,,,,26,,331345,1440,4,8,0.9,175.214912,120.0,295.214912,q_learning,False,,simulation ended,528,278,192,86,0.30935251798561153,313.1028694572533,199.3180664152201,10.715534145572903,894.1894871984765,122.75888545668477,250,976.0,28,358,10,47,226,75,0.05,1,1,1,1,1,1,1
,,20,332345,,,,26,,332345,1440,4,8,0.9,175.214912,120.0,295.214912,q_learning,False,,simulation ended,595,283,150,133,0.46996466431095407,367.34619680079936,211.72534535971297,11.902551930267954,1098.1163371895407,159.54872356859133,313,71.0,33,355,3,62,221,69,0.05,1,1,1,1,1,1,1
,,21,333345,,,,26,,333345,1440,4,8,0.9,175.214912,120.0,295.214912,q_learning,False,,simulation ended,531,272,169,103,0.3786764705882353,317.2313760660303,196.0346868774438,11.350712639490974,857.9196186204716,123.75041321105593,262,534.0,42,348,2,72,210,64,0.05,1,1,1,1,1,1,1
,,22,334345,,,,26,,334345,1440,4,8,0.9,175.214912,120.0,295.214912,q_learning,False,,simulation ended,554,283,155,128,0.45229681978798586,370.44820137864633,211.1164336886457,9.86054462359245,1049.8111077304093,142.12413425519992,272,171.0,33,359,2,68,236,53,0.05,1,1,1,1,1,1,1
